0	0	500	0	0	-250		500	-250
500	0	1000	0	500	-250		1000	-250
1000	0	1500	0	1000	-250		1500	-250
1500	0	2000	0	1500	-250		2000	-250
2000	0	2500	0	2000	-250		2500	-250
2500	0	3000	0	2500	-250		3000	-250
3000	0	3500	0	3000	-250		3500	-250
3500	0	4000	0	3500	-250		4000	-250
4000	0	4500	0	4000	-250		4500	-250
4500	0	5000	0	4500	-250		5000	-250
0	-250	500	-250	0	-500		500	-500
500	-250	1000	-250	500	-500		1000	-500
1000	-250	1500	-250	1000	-500		1500	-500
1500	-250	2000	-250	1500	-500		2000	-500
2000	-250	2500	-250	2000	-500		2500	-500
2500	-250	3000	-250	2500	-500		3000	-500
3000	-250	3500	-250	3000	-500		3500	-500
3500	-250	4000	-250	3500	-500		4000	-500
4000	-250	4500	-250	4000	-500		4500	-500
4500	-250	5000	-250	4500	-500		5000	-500
0	-500	500	-500	0	-750		500	-750
500	-500	1000	-500	500	-750		1000	-750
1000	-500	1500	-500	1000	-750		1500	-750
1500	-500	2000	-500	1500	-750		2000	-750
2000	-500	2500	-500	2000	-750		2500	-750
2500	-500	3000	-500	2500	-750		3000	-750
3000	-500	3500	-500	3000	-750		3500	-750
3500	-500	4000	-500	3500	-750		4000	-750
4000	-500	4500	-500	4000	-750		4500	-750
4500	-500	5000	-500	4500	-750		5000	-750
0	-750	500	-750	0	-1000		500	-1000
500	-750	1000	-750	500	-1000		1000	-1000
1000	-750	1500	-750	1000	-1000		1500	-1000
1500	-750	2000	-750	1500	-1000		2000	-1000
2000	-750	2500	-750	2000	-1000		2500	-1000
2500	-750	3000	-750	2500	-1000		3000	-1000
3000	-750	3500	-750	3000	-1000		3500	-1000
3500	-750	4000	-750	3500	-1000		4000	-1000
4000	-750	4500	-750	4000	-1000		4500	-1000
4500	-750	5000	-750	4500	-1000		5000	-1000
0	-1000	500	-1000	0	-1250		500	-1250
500	-1000	1000	-1000	500	-1250		1000	-1250
1000	-1000	1500	-1000	1000	-1250		1500	-1250
1500	-1000	2000	-1000	1500	-1250		2000	-1250
2000	-1000	2500	-1000	2000	-1250		2500	-1250
2500	-1000	3000	-1000	2500	-1250		3000	-1250
3000	-1000	3500	-1000	3000	-1250		3500	-1250
3500	-1000	4000	-1000	3500	-1250		4000	-1250
4000	-1000	4500	-1000	4000	-1250		4500	-1250
4500	-1000	5000	-1000	4500	-1250		5000	-1250
0	-1250	500	-1250	0	-1500		500	-1500
500	-1250	1000	-1250	500	-1500		1000	-1500
1000	-1250	1500	-1250	1000	-1500		1500	-1500
1500	-1250	2000	-1250	1500	-1500		2000	-1500
2000	-1250	2500	-1250	2000	-1500		2500	-1500
2500	-1250	3000	-1250	2500	-1500		3000	-1500
3000	-1250	3500	-1250	3000	-1500		3500	-1500
3500	-1250	4000	-1250	3500	-1500		4000	-1500
4000	-1250	4500	-1250	4000	-1500		4500	-1500
4500	-1250	5000	-1250	4500	-1500		5000	-1500
